contract_id,case_filed_yr,case_filed_month,jurisdiction,zip,assign_atty,case_type_x,settlement_offer,amount_billed,contract_dup,case_type_y,hours_worked
009429R27A   ,2013,9,Ohio                ,44039,612,5121.0,2801000.0,52500.0,False,,
006922R674   ,2013,9,Texas               ,75081,719,5122.0,218000.0,49800.0,False,,
005310N40A   ,2013,8,Maryland            ,21204,566,5122.0,827000.0,57000.0,False,,
 680 9A748097,2012,8,Pennsylvania        ,19137,712,5121.0,3738000.0,57400.0,False,5121.0,156.0
 680 2A908537,2012,8,Pennsylvania        ,19103,926,5119.0,0.0,142600.0,False,5119.0,19.0
 680 5484A232,2012,3,New Jersey          ,7040,712,5119.0,0.0,41200.0,False,5119.0,25.0
 PACP7B986235,2012,6,Texas               ,75206,712,5233.0,0.0,464200.0,False,5233.0,35.0
002425W235   ,2013,10,Colorado            ,80919,620,5223.0,10000000.0,272600.0,False,,
006D873511   ,2013,11,Louisiana           ,71291,665,5119.0,0.0,261300.0,False,,
006D873511   ,2013,11,Louisiana           ,71291,665,5223.0,9750000.0,450300.0,True,,
006D873511   ,2013,11,Louisiana           ,71291,665,5121.0,47328000.0,1936500.0,True,,
009783B520   ,2013,10,Indiana             ,46805,164,5121.0,2734000.0,93500.0,False,,
 680 8437L252,2012,8,Virginia            ,23219,600,5121.0,140400000.0,1062300.0,False,5121.0,93.0
 680 2133N120,2012,6,Colorado            ,80226,712,5219.0,0.0,101900.0,False,5219.0,14.0
 680 1391X237,2012,8,California          ,92103,712,5219.0,0.0,230900.0,False,5219.0,421.0
009C625039   ,2013,5,Georgia             ,30224,10,5121.0,29778000.0,401700.0,False,,
007296M45A   ,2013,10,Texas               ,77802,543,5223.0,11813000.0,3000600.0,False,,
005D211831   ,2013,8,Kansas              ,66083,956,5223.0,83000.0,123300.0,False,,
